fips_code,total
40001,63
40003,4
40005,11
40007,2
40009,24
40013,18
40015,28
40017,68
40019,46
40021,24
40023,7
40025,2
40027,97
40029,3
40031,35
40033,1
40035,4
40037,21
40039,21
40041,12
40043,2
40045,11
40047,23
40049,29
40051,18
40053,2
40055,5
40059,5
40061,3
40063,3
40065,22
40067,5
40069,6
40071,19
40073,15
40075,5
40077,2
40079,11
40081,7
40083,12
40085,4
40087,16
40089,6
40091,10
40093,6
40095,3
40097,11
40099,6
40101,23
40103,6
40105,3
40107,3
40109,593
40111,17
40113,12
40115,8
40117,4
40119,29
40121,7
40123,24
40125,14
40127,12
40129,1
40131,27
40133,6
40135,18
40137,20
40139,13
40141,2
40143,349
40145,34
40147,12
40149,7
40151,12
40153,22
